,Name,Link,Author,Description,,Content Type,Solution Type Mapping,Reference Architecture Tag,Solution Center Associated,Future Status of Solution,Industries,Language,Category 1,Categories 1a,Categories 1a,OG Categories,Category 2,Category 2a,Category 2a,OG Categories,Category 3,Category 3a,Category 3a,,,,,,,,,Status,Date Published,Date Updated,Updated by
data_engineering_with_apache_airflow,Data Engineering with Apache Airflow Snowflake Snowpark dbt Cosmos,https://quickstarts.snowflake.com/guide/data_engineering_with_apache_airflow/index.html,"Adrian Lee, George Yates","This guide shows you how to build a Data Pipeline with Apache Airflow that manages DBT model transformations and conducts data analysis with Snowpark, all in a single DAG",Data Engineering,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,architecture-patterns,Partner,,,Partner Integrations,,,,,,,,,,,,Published,"Aug 14, 2021","Jan 3, 2024",astronautyates
ml_with_snowpark_and_apache_airflow,Machine Learning with Snowpark and Apache Airflow,https://quickstarts.snowflake.com/guide/ml_with_snowpark_and_apache_airflow/index.html,"Michael Gregory, George Yates",This is a sample Snowflake Guide,Data Engineering,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,architecture-patterns,Partner,,,Partner Integrations,,,,,,,,,,,,Development,"Oct 19, 2023","Jan 3, 2024",astronautyates
data_engineering_pipelines_with_snowpark_python_ja,Snowpark Python,https://quickstarts.snowflake.com/guide/data_engineering_pipelines_with_snowpark_python_ja/index.html,Jeremiah Hansen,このガイドでは、Snowpark Pythonカテゴリーを使用してデータエンジニアリングパイプラインを構築する方法について詳細に説明します。,,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Data Engineering,,,,,,,,,,,,,,,,Published,"Jan 29, 2024","Jan 29, 2024",sfc-gh-ishigemori
data_engineering_with_apache_airflow_ja,Apache Airflow Snowflake dbt,https://quickstarts.snowflake.com/guide/data_engineering_with_apache_airflow_ja/index.html,Adrian Lee,"This guide shows you how to build a Data Pipeline with Apache Airflow that manages DBT model transformations and conducts data analysis with Snowpark, all in a single DAG",Data Engineering,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,architecture-patterns,Partner,,,Partner Integrations,,,,,,,,,,,,Published,"Jan 29, 2024","Jan 29, 2024",sfc-gh-ishigemori
getting_started_with_pii,Process PII data using Snowflake RBAC DAC Row Access Policies and Column Level Security,https://quickstarts.snowflake.com/guide/getting_started_with_pii/index.html,sanderiam,"Learn how to process PII data using Snowflake RBAC, DAC, Row Access Policies, and Column Level Security",Cybersecurity,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,architecture-patterns,"""Platform: Compliance, Security, Discovery & Governance""",snowflake-site:taxonomy/snowflake-feature/compliance-security-discovery-governance,,,,,,Marketing,,,,,,,,Published,"Sep 19, 2021","Feb 1, 2024",jdanielmyers
build_an_ad_tag_in_python_on_aws,Build an Ad Tag in Python on AWS,https://quickstarts.snowflake.com/guide/build_an_ad_tag_in_python_on_aws/index.html,Jim Warner,A guide to building and running a simple ad tag (in Python) Powered by Snowflake and AWS,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Applications & Collaboration,snowflake-site:taxonomy/product/applications-and-collaboration,,App Development,,,,architecture-patterns,,,,,Marketing,,,,,,,Published,"Nov 30, 2022","Feb 1, 2024",jdanielmyers
segment-retl-salesforce,Use Segment Reverse ETL to sync your Snowflake customer table to Salesforce,https://quickstarts.snowflake.com/guide/segment-retl-salesforce/index.html,"Ginu Kuncheria, Segment Solutions Engineer",Use Segment Reverse ETL to sync your Snowflake customer table to Salesforce,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Marketing,,,,,,,,,,,,,,,,Published,"Jun 23, 2023","Feb 1, 2024",jdanielmyers
validate_your_customer_identity_model_with_identityqa,Validate Your Customer Identity Model with IdentityQA,https://quickstarts.snowflake.com/guide/validate_your_customer_identity_model_with_identityqa/index.html,Emily,Use IdentityQA to validate your customer identity model,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,"Data Engineering, Platform",snowflake-site:taxonomy/product/platform,snowflake-site:taxonomy/product/data-engineering,data-warehouse,,,,Data Engineering,,,,Marketing,,,,,,,,Published,"Jun 23, 2023","Feb 1, 2024",jdanielmyers
predict_ad_impressions_with_ml_powered_analysis,Predict Ad Impressions with ML Powered Analysis,https://quickstarts.snowflake.com/guide/predict_ad_impressions_with_ml_powered_analysis/index.html,Jim Warner,Shows how advertisers can predict ad impressions using ML-powered analysis in Snowflake,Data Science,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,snowflake-site:taxonomy/industry/advertising-media-and-entertainment,en,"AI, Data Engineering",snowflake-site:taxonomy/product/ai,snowflake-site:taxonomy/product/data-engineering,ML,,,,Marketing,,,,,,,,,,,,Published,"Aug 4, 2023","Feb 1, 2024",jdanielmyers
data_engineering_pipelines_with_snowpark_python_kr,Snowpark Python,https://quickstarts.snowflake.com/guide/data_engineering_pipelines_with_snowpark_python_kr/index.html,Jeremiah Hansen,This guide will provide step-by-step details for building data engineering pipelines with Snowpark Python,,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Data Engineering,,,,,,,,,,,,,,,,Published,"Mar 6, 2024","Mar 6, 2024",sfc-gh-ishigemori
data_engineering_with_apache_airflow_kr,Apache Airflow Snowflake dbt,https://quickstarts.snowflake.com/guide/data_engineering_with_apache_airflow_kr/index.html,Adrian Lee,This is a sample Snowflake Guide,Data Engineering,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,architecture-patterns,Partner,,,Partner Integrations,,,,,,,,,,,,Published,"Mar 6, 2024","Mar 6, 2024",sfc-gh-ishigemori
vhol_data_marketplace_app,Building an application on Snowflake with data from Snowflake Marketplace,https://quickstarts.snowflake.com/guide/vhol_data_marketplace_app/index.html,Bren Stokes,This is a sample Snowflake Guide,App Development,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Applications & Collaboration,snowflake-site:taxonomy/product/applications-and-collaboration,,Marketing,,,,,Apps & Collab - Marketplace,snowflake-site:taxonomy/snowflake-feature/marketplace-and-integrations,,,,,,,,,,Hidden,"Apr 28, 2021","Mar 11, 2024",iamontheinet
improving_ad_performance_capi_hightouch,Improving ad performance with Facebook s Conversion API CAPI using Hightouch and Snowflake,https://quickstarts.snowflake.com/guide/improving_ad_performance_capi_hightouch/index.html,Jim Warner,"Improving ad performance with Facebook's Conversion API (CAPI), using Hightouch and Snowflake.",,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,,,,,en,Applications & Collaboration,snowflake-site:taxonomy/product/applications-and-collaboration,,Partner Integrations,Partner,,,,,,,,,,,,,,,Published,"Mar 5, 2024","Mar 11, 2024",sfc-gh-jwarner
tasty_bytes_zero_to_snowflake_collaboration_kr,Tasty Bytes Snowflake,https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_collaboration_kr/index.html,Jacob Kranzler,Tasty Bytes - Zero to Snowflake - Collaboration Quickstart,Tasty Bytes,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Platform,snowflake-site:taxonomy/product/platform,,Getting Started,,,,,,,,,,,,,,,,Published,"Mar 11, 2024","Mar 11, 2024",sfc-gh-ishigemori
tasty_bytes_zero_to_snowflake_semi_structured_data_kr,Tasty Bytes Snowflake,https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_semi_structured_data_kr/index.html,Jacob Kranzler,Tasty Bytes - Zero to Snowflake - Semi-Structured Data Quickstart,Tasty Bytes,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Getting Started,,,,,,,,,,,,,,,,Published,"Mar 11, 2024","Mar 11, 2024",sfc-gh-ishigemori
tasty_bytes_zero_to_snowflake_transformation_kr,Tasty Bytes Snowflake,https://quickstarts.snowflake.com/guide/tasty_bytes_zero_to_snowflake_transformation_kr/index.html,Jacob Kranzler,Tasty Bytes - Zero to Snowflake - Transformation Quickstart,Tasty Bytes,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Getting Started,DE: Transformation,snowflake-site:taxonomy/snowflake-feature/transformation,,,,,,,,,,,,,,Published,"Mar 11, 2024","Mar 11, 2024",sfc-gh-ishigemori
extract_attributes_dicom_files_java_udf,Extract Attributes from DICOM Files using Snowpark for Python and Java,https://quickstarts.snowflake.com/guide/extract_attributes_dicom_files_java_udf/index.html,"Scott Teal, Saurin Shah, Mauricio Rojas Fernandez",This is a guide to get familiar with Snowflake's support for unstructured data,Data Engineering,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,App Development,AI: Unstructured Data Insights,snowflake-site:taxonomy/snowflake-feature/unstructured-data-analysis,,architecture-patterns,,,,,,,,,,,,Published,"Apr 15, 2022","Mar 14, 2024",sfc-gh-chmarshall
deploying_models_from_azureml_and_sagemaker_to_snowparkml,Deploying Models from AzureML and Sagemaker to Snowpark ML,https://quickstarts.snowflake.com/guide/deploying_models_from_azureml_and_sagemaker_to_snowparkml/index.html,"Matt Marzillo,",Learning how to easily access models from AzureML and Amazon Sagemaker then deploy them to Snowpark ML registries,,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,AI,snowflake-site:taxonomy/product/ai,,Getting Started,AI: Model Development,snowflake-site:taxonomy/snowflake-feature/model-development,,Snowpark,AI - ML Functions,snowflake-site:taxonomy/snowflake-feature/ml-functions,,azure,aws,Streamlit,genAI,AI,ML,azureML,,Published,"Mar 15, 2024","Mar 15, 2024",sfc-gh-mmarzillo
lead_scoring_with_ml_powered_classification,Lead Scoring with ML Powered Classification,https://quickstarts.snowflake.com/guide/lead_scoring_with_ml_powered_classification/index.html,Jim Warner,Shows how marketers can predict the value of leads and new,Data Science,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,"Data Engineering, Applications & Collaboration",snowflake-site:taxonomy/product/data-engineering,snowflake-site:taxonomy/product/applications-and-collaboration,ML,,,,Marketing,,,,,,,,,,,,Published,"Mar 18, 2024","Mar 18, 2024",sfc-gh-jwarner
build_a_data_application_with_hybrid_tables,Build a Data Application with Hybrid Tables,https://quickstarts.snowflake.com/guide/build_a_data_application_with_hybrid_tables/index.html,Fredrik Göransson,Build a data application using Snowflake Hybrid Tables for transactional processing,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Applications & Collaboration,snowflake-site:taxonomy/product/applications-and-collaboration,,,Apps & Collab: Build,snowflake-site:taxonomy/snowflake-feature/build,,,,,,,,,,,,,,Published,"Mar 25, 2024","Mar 25, 2024",sfc-gh-fgoransson
getting_started_with_snowpark_in_snowflake_python_worksheets_kr,Snowflake Python Snowpark,https://quickstarts.snowflake.com/guide/getting_started_with_snowpark_in_snowflake_python_worksheets_kr/index.html,Dash Desai,Snowflake Python 워크시트에서 Snowpark 시작하기,,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,ko,,snowflake-site:taxonomy/product/data-engineering,snowflake-site:taxonomy/product/platform,Getting Started,,,,Data Engineering,,,,App Development,,,,,,,,Published,"Mar 25, 2024","Mar 25, 2024",sfc-gh-ishigemori
deploy_finetune_os_llama2_in_snowpark_container_services,Deploy and Fine tune Open Source Llama 2 in Snowpark Container Services,https://quickstarts.snowflake.com/guide/deploy_finetune_os_llama2_in_snowpark_container_services/index.html,Dash Desai,"Through this quickstart guide, you will explore Snowpark Container Services",Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,"Platform, AI",snowflake-site:taxonomy/product/ai,snowflake-site:taxonomy/product/platform,,,,,,,snowflake-site:taxonomy/snowflake-feature/snowpark-container-services,,,,,,,,,,Hidden,"Jan 17, 2024","Apr 1, 2024",iamontheinet
snowflake-auto-grader,How to Setup the Snowflake Auto Grader,https://quickstarts.snowflake.com/guide/snowflake-auto-grader/index.html,Gilberto Hernandez,"In this guide, you'll set up Snowflake's Auto-Grader.",Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,,,,,,,,,,,,,,,,,Hidden,"Mar 6, 2024","Apr 1, 2024",sfc-gh-ghernandez
resource_optimization_performance_optimization,Resource Optimization Performance,https://quickstarts.snowflake.com/guide/resource_optimization_performance_optimization/index.html,Praveen Purushothaman,"This guide can be used to help customers setup and run queries pertaining to identifying areas where poor performance might be causing excess consumption, driven by a variety of factors.",resource-optimization,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,,,,,,,,,,,,,,,,,Published,"Mar 22, 2021","Apr 19, 2024",sfc-gh-ppurushothaman
getting_started_with_snowpark_in_snowflake_python_worksheets_it,Guida introduttiva all uso di Snowpark nei fogli di lavoro Snowflake Python,https://quickstarts.snowflake.com/guide/getting_started_with_snowpark_in_snowflake_python_worksheets_it/index.html,Dash Desai,Guida introduttiva all’uso di Snowpark nei fogli di lavoro Snowflake Python,,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,it,,snowflake-site:taxonomy/product/data-engineering,snowflake-site:taxonomy/product/platform,Getting Started,,,,Data Engineering,,,,App Development,,,,,,,,Published,"Mar 28, 2024","Apr 22, 2024",sfc-gh-ishigemori
